SHORTNAME;ORIGNAME;BOHRTYP;RESTRICTIO;XCOORD;YCOORD;ZCOORDB;stratigraphy_id;stratigraphy_name;DEPTHFROM;DEPTHTO;LAYERDESC;ORIGGEOL;qt_description;LITHOLOGY;LITHOSTRAT;CHRONOSTR;TECTO;myLitho
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;12.0;45.0;Granit, vorwiegend schwach geklÃ¼ftet, homogen;;9001.0;15103007.0;15202160.0;15001117.0;;[]
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;0.0;8.0;Granit, schwach geschiefert, ungeklÃ¼ftet ;;9001.0;15103007.0;15202160.0;15001117.0;;[]
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;8.0;12.0;Granit, mÃ¤ssig geklÃ¼ftet;;9001.0;15103007.0;15202160.0;15001117.0;;[]
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;72.0;148.0;Granit, kompakt, lokal schwach geklÃ¼ftet;;9001.0;15103007.0;15202160.0;15001117.0;;[]
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;45.0;47.0;Granit, geklÃ¼ftet;;9001.0;15103007.0;15202160.0;15001117.0;;[]
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;47.0;71.0;Granit, vorwiegend homogen, stellenweise schwach geklÃ¼ftet;;9001.0;15103007.0;15202160.0;15001117.0;;[]
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;71.0;72.0;Granit, stark geklÃ¼ftet;;9001.0;15103007.0;15202160.0;15001117.0;;[]
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;148.0;148.5;aplitischer Granit, feinkÃ¶rnig, ziemlich massig;;9002.0;15103007.0;15202326.0;15001117.0;;[]
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;266.0;272.0;Granit, hell, epidotreich, nach unten grobkÃ¶rniger werdend, chloritreich, KlÃ¼fte mit HÃ¤matit und Calcit;;9002.0;15103007.0;15202160.0;15001117.0;;[]
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;230.0;266.0;Granit, homogen, wenig geklÃ¼ftet;;9001.0;15103007.0;15202160.0;15001117.0;;[]
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;289.0;299.37;Granit, vorwiegend homogen, mit epidotreichen Schlieren, KlÃ¼ftung untergeordnet, auf KluftflÃ¤chen HÃ¤matit und Calcit;;9002.0;15103007.0;15202160.0;15001117.0;;[]
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;221.0;230.0;Granit, homogen, mit einzelnen zertÃ¼mmerten Zonen, bedeutende KluftflÃ¤chen mit Ausscheidungen von Pyrit und Bleiglanz;;9002.0;15103007.0;15202160.0;15001117.0;;[]
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;157.8;158.0;aplitischer Granit, feinkÃ¶rnig;;9001.0;15103007.0;15202326.0;15001117.0;;[]
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;206.0;221.0;Granit, vorwiegend kompakt, unbedeutend geklÃ¼ftet, mit kleinen melanokraten Schlieren, Farbe des Gesteins dunkler;;9002.0;15103007.0;15202160.0;15001117.0;;[]
SF-29;Sondierbohrung St. Antoni ;B;g;2688170.0;1166720.0;1420.0;31;Bohrloch St. Anton;272.0;289.0;"grobkÃ¶rniger, dunkler Granit, epidotreiche Schlieren, beidseitig von grobkÃ¶rnigem Granit begrenzt, 5cm breiter Quarzgang, durch epidot- & chloritreiche Lagen begrenzt
feinkÃ¶rniger aplitischer Granit";;9003.0;15103007.0;15202160.0;15001117.0;;[]
