bh_pub_index;bh_pub_XCOORD;bh_pub_YCOORD;bh_pub_ZCOORDB;bh_pub_ORIGNAME;bh_pub_NAMEPUB;bh_pub_SHORTNAME;bh_pub_BOHREDAT;bh_pub_BOHRTYP;bh_pub_GRUND;bh_pub_RESTRICTIO;bh_pub_TIEFEMD;bh_pub_DEPTHFROM;bh_pub_DEPTHTO;bh_pub_LAYERDESC;bh_pub_ORIGGEOL;bh_pub_LITHOLOGY;bh_pub_LITHOSTRAT;bh_pub_CHRONOSTR;bh_pub_TECTO;bh_pub_USCS1;bh_pub_USCS2;bh_pub_USCS3;bh_pub_geometry;bh_pub_geom4326;bh_pub_x4326;bh_pub_y4326
66754;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;0.0;2.0;Humus, Lehm und Kalkbrocken sowie aufgearbeiteter Sandstein.;Quartär;Uvvun;;q;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66755;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;2.0;2.5;100% Mittelfeinsandstein bis Mittelsandstein, hellmittelgrau, selten etwas gelblichgrau (verwittert), stark kalkig, mergelig, mäßig glimmerhaltig bis kaum feinglimmerführend, dunkle und bunte Körner bis 5%, hart, nicht absandend, rauher Griff.;Obere Süßwassermolasse (Tortonien);Sksun;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66756;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;2.5;3.5;"50% Mergelstein, gelblichgrau, weich; 40% Gerölle, meist kalkig, dunkelgrau, seltener beige, rotbraun, wenig Kristallin, Ø bis 10 mm; 10% Mittelfeinsandstein wie zuvor, Probe sonst stark durch Holz und kreidiges Pulver verunreinigt";Obere Süßwassermolasse (Tortonien);SkpMe;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66757;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;3.5;5.0;"70% Mergelstein wie zuvor, meist zerbohrt; 25% Gerölle wie zuvor; 5% Mittelfeinsandstein, gelblichgrau, sonst wie zuvor. Probe stark verunreinigt wie zuvor.";Obere Süßwassermolasse (Tortonien);SkpMe;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66758;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;5.0;10.0;"80% Mergelstein, gelblichbräunlichgrau, selten schwach gelblichgrün, fest bis weich, etwas feinsandig, z.T. schwach glimmerhaltig, z .T. etwas geschichtet (plattig); 15 % Gerölle wie zuvor mit Ø bis 20 mm, polygen; 5% Mittelfeinsandstein wie zuvor.";Obere Süßwassermolasse (Tortonien);SkpMe;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66759;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;10.0;15.0;"90% Mergelstein wie zuvor, z.T. auch dunkelbraunviolett sowie grünlichbeige und hellgrau, zur Hälfte zerbohrt; 10% Gerölle wie zuvor.";Obere Süßwassermolasse (Tortonien);SkpMe;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66760;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;15.0;20.0;"85% Mittelsandstein, schmutziggrau, kalkig, schwachmergelig, mäßig glimmerhaltig, dunkle und bunte Körner bis 15%, fest, absandend, rauher Griff; 10 % Mergelstein wie zuvor; 5% Gerölle wie zuvor.";Obere Süßwassermolasse (Tortonien);Sksun;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66761;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;20.0;30.0;"90% Feinmittelsandstein, kalkig, stark mergelig, bis mergelstein, feinmittelsandig, schwach glimmerstaubig, dunkle Körner bis 20%, mittelgelbgrau, braungelb, gelb- und weinrotfleckig, plattig; 10% Mergelstein, weich, wie zuvor, wenige Geröllbröckchen.";Obere Süßwassermolasse (Tortonien);Sksun;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66762;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;30.0;35.0;100% Mergelstein, mittelbeigegrau, weinrot, grünlich und ockergelb gefleckt, fest, splitterig, wenige Brocken Feinsandstein wie zuvor.;Obere Süßwassermolasse (Tortonien);SkpMe;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66763;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;35.0;40.0;"80% Mittelsandstein, gelblichgrau, kalkig, schwach mergelig, glimmerführend, dunkle und bunte Körner bis 5%, fest, mäßig absandend, rauher Griff, feingeschichtet, auf Schichtflächen z.T. Glimmerbelag; 20% Mergelstein wie zuvor.";Obere Süßwassermolasse (Tortonien);Sksun;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66764;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;40.0;45.0;100% Mergelstein, mittelmausgrau, gelblichgrau, seltener grünlichgrau, weich bis fest, feingeschichtet, z .T. plattig, selten etwas feinsandig und glimmerführend, z.T. plastisch, z.T. zerbohrt.;Obere Süßwassermolasse (Tortonien);SkpMe;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66765;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;45.0;95.0;"90-100% Mergelstein, gelbgrau, ockergelb, violettrot, mittelgrau, schmutzig braun, grau, z.T. plattig. z.T. zerbohrt, selten etwas feinsandig und auf Schichtflächen glimmerbelegt, fest, z.T. hart; 0-10% Feinsandstein bis Feinmittelsandstein, mergelig, gelbgrau, fest bis zerreibbar, z.T. zerbohrt.";Obere Süßwassermolasse (Tortonien);SkpMe;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66766;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;95.0;100.0;"90% Feinmittelsandstein bis Mittelsandstein, schmutziggelbgrau bis mittelgrau, mergelig und kalkig, glimmerführend, etwas geschichtet, dunkle und bunte Körner bis 15%, etwas absandend, fest, z.T. zerbohrt mit weißlichem, kalkigem Pulver z.T. in lockeren Körnern; 10 % Mergelstein wie zuvor.";Obere Süßwassermolasse (Tortonien);Sksun;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66767;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;100.0;105.0;95% Mergelstein wie zuvor, 5% Feinmittelsandstein wie zuvor.;Obere Süßwassermolasse (Tortonien);SkpMe;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66776;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;105.0;110.0;100% Mergelstein wie zuvor.;Obere Süßwassermolasse (Tortonien);SkpMe;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66777;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;110.0;115.0;95% Kalkmergelstein, schwach dolomitisch, mittelgrau, hellblunt, z.T. dunkelbunt, fest, splitterig 5% Feinmittelsandstein, schmutziggrau bis mittelgrau, stark kalkig, dunkle und bunte Körner bis 15%, wenig glimmerführend, hart, splitterig.;Obere Süßwassermolasse (Tortonien);SkpKa;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
66778;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;115.0;120.0;"95% Mergelstein, mittelgrau bis dunkel grau, selten bunt, fest bis weich, z.T. auch hellgrau und beige, gelb, zerbohrt; 5% Feinmittelsandstein wie zuvor.";Obere Süßwassermolasse (Tortonien);SkpMe;;nmsT;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
